68872	1	1.0
4970	1	1.0
3640	2	1.0
93831	2	1.0
4971	2	1.0
31590	3	1.0
81845	1	1.0
81847	4	1.0
2306	2	1.0
3638	5	1.0
4969	3	1.0
3639	5	1.0
2304	1	1.0
2303	1	1.0
2302	2	1.0
2301	2	1.0
79536	3	1.0
4961	6	1.0
4962	7	1.0
3632	2	1.0
4963	3	1.0
78209	2	1.0
4964	7	1.0
3633	5	1.0
4965	5	1.0
3634	8	1.0
3635	5	1.0
4966	9	1.0
4967	1	1.0
3637	1	1.0
2307	5	1.0
43560	10	1.0
160872	11	1.0
4980	7	1.0
4981	2	1.0
68886	2	1.0
2320	1	1.0
81834	5	1.0
3649	1	1.0
1	7	1.0
2316	1	1.0
2315	2	1.0
2	7	1.0
2314	1	1.0
3	2	1.0
2313	1	1.0
4	2	1.0
5	2	1.0
2312	1	1.0
2311	9	1.0
6	5	1.0
55577	3	1.0
2310	1	1.0
8	7	1.0
3641	1	1.0
9	5	1.0
4973	2	1.0
3643	5	1.0
4974	2	1.0
4975	12	1.0
4976	1	1.0
4977	1	1.0
3646	2	1.0
93819	11	1.0
133281	2	1.0
4978	1	1.0
2318	2	1.0
4979	2	1.0
3648	11	1.0
43556	1	1.0
4990	7	1.0
3660	11	1.0
4991	2	1.0
93855	2	1.0
4992	2	1.0
3661	11	1.0
4993	7	1.0
3662	11	1.0
2331	2	1.0
2330	2	1.0
44889	2	1.0
43558	5	1.0
79553	5	1.0
2328	11	1.0
2327	13	1.0
2325	2	1.0
54259	7	1.0
2324	2	1.0
121253	11	1.0
2323	6	1.0
2322	5	1.0
2321	2	1.0
172887	4	1.0
54256	2	1.0
3652	11	1.0
172881	5	1.0
3653	6	1.0
4985	5	1.0
3654	5	1.0
3655	1	1.0
4987	5	1.0
4988	7	1.0
3658	11	1.0
4989	2	1.0
2329	3	1.0
93840	2	1.0
3671	2	1.0
3672	7	1.0
3673	7	1.0
2342	2	1.0
145283	6	1.0
1011	10	1.0
1010	10	1.0
2340	14	1.0
43549	5	1.0
2339	2	1.0
1008	7	1.0
2338	11	1.0
1007	10	1.0
1006	1	1.0
2337	1	1.0
2336	1	1.0
1005	10	1.0
2335	2	1.0
32892	1	1.0
1004	5	1.0
1003	1	1.0
2334	5	1.0
2333	1	1.0
172875	4	1.0
2332	3	1.0
4994	2	1.0
93838	5	1.0
3663	11	1.0
3664	11	1.0
78218	1	1.0
92507	5	1.0
4995	1	1.0
4998	7	1.0
66240	2	1.0
3667	5	1.0
3668	1	1.0
32898	5	1.0
3669	2	1.0
1009	7	1.0
92509	1	1.0
135887	7	1.0
44864	2	1.0
3680	6	1.0
3681	5	1.0
3682	5	1.0
159858	11	1.0
158528	1	1.0
3683	3	1.0
135885	2	1.0
3684	1	1.0
2353	5	1.0
2352	2	1.0
1021	10	1.0
116724	2	1.0
2351	1	1.0
1020	2	1.0
2350	2	1.0
54272	4	1.0
79572	10	1.0
31553	5	1.0
2349	2	1.0
54276	2	1.0
1018	10	1.0
1017	7	1.0
2348	1	1.0
2347	1	1.0
54274	3	1.0
172825	7	1.0
1015	7	1.0
1014	10	1.0
2344	5	1.0
1012	10	1.0
3674	7	1.0
3675	2	1.0
3676	1	1.0
3677	6	1.0
3678	1	1.0
160848	4	1.0
3679	6	1.0
157200	1	1.0
44851	2	1.0
116718	2	1.0
3690	2	1.0
3691	2	1.0
92535	2	1.0
3692	2	1.0
3693	2	1.0
3694	2	1.0
3695	2	1.0
2364	5	1.0
1033	4	1.0
80549	2	1.0
2363	1	1.0
1031	7	1.0
2362	1	1.0
2361	2	1.0
159849	2	1.0
2360	1	1.0
54281	2	1.0
80553	1	1.0
1029	4	1.0
32875	2	1.0
1028	10	1.0
54286	5	1.0
2359	2	1.0
80551	1	1.0
1027	7	1.0
2358	1	1.0
2357	1	1.0
2356	2	1.0
1025	4	1.0
1024	4	1.0
2355	7	1.0
1023	4	1.0
2354	4	1.0
3685	2	1.0
3686	11	1.0
3687	7	1.0
3688	2	1.0
3689	2	1.0
31545	3	1.0
160836	5	1.0
91233	4	1.0
44840	2	1.0
44849	5	1.0
2375	2	1.0
1043	1	1.0
2374	2	1.0
1042	2	1.0
2373	5	1.0
2372	2	1.0
79590	2	1.0
1041	1	1.0
2371	2	1.0
1040	1	1.0
2370	5	1.0
79592	5	1.0
78264	2	1.0
80586	2	1.0
78266	11	1.0
80584	2	1.0
32862	2	1.0
2369	2	1.0
1037	5	1.0
2368	7	1.0
1036	5	1.0
1035	15	1.0
2365	5	1.0
1034	2	1.0
3696	2	1.0
3697	5	1.0
3698	5	1.0
