user_id,item_id,rating,category
1,9362,4.71,Action
1,8038,4.1,Comedy
1,5989,4.06,Comedy
1,9540,3.6,Animation
2,7278,4.65,Comedy
2,7524,4.35,Crime
14,8363,4.75,Drama
14,5108,4.5,Drama
14,8244,4.36,Drama
14,5518,4.2,Adventure
25,3734,4.76,Crime
25,6169,4.5,Documentary
25,8525,4.49,Comedy
25,4762,4.35,Adventure
25,2175,4.07,Action
25,1688,3.99,Crime
31,6293,4.55,Drama
31,3346,4.45,Action
31,1678,4.35,Comedy
31,3237,4.25,Drama
31,528,4.15,Animation
31,6571,3.95,Action
31,4919,3.9,Action
31,6648,3.85,Action
31,1832,3.8,Drama
33,878,4.5,Comedy
33,5430,4.49,Drama
33,647,4.33,Comedy
33,1348,4.25,Action
33,7913,4.22,Comedy
33,4550,3.95,Comedy
33,7456,3.64,Action
39,5547,4.55,Adventure
39,1253,4.25,Comedy
39,5023,4.25,Adventure
39,7914,4.15,Action
39,1496,3.85,Drama
39,4481,3.8,Action
47,3797,5.0,Comedy
47,8336,4.35,Musical
47,6173,4.35,Drama
47,5348,3.95,Drama
47,4394,3.9,Drama
47,8628,3.8,Animation
49,1457,4.8,Horror
49,5979,4.65,Comedy
49,5443,4.55,Crime
49,7417,4.15,Comedy
49,6478,4.15,Animation
49,3032,4.1,Drama
62,8631,4.65,Comedy
62,7520,4.35,Drama
62,7074,4.25,Comedy
62,2228,4.0,Comedy
62,1385,3.95,Comedy
67,7837,4.45,Comedy
67,2377,4.45,Action
67,2705,4.15,Horror
67,7514,3.75,Comedy
67,692,3.75,Comedy
70,9617,4.5,Comedy
70,9181,4.4,Comedy
70,6111,4.15,Drama
70,1874,4.05,Comedy
70,4282,4.0,Drama
70,4983,3.65,Comedy
76,6683,4.9,Comedy
76,827,4.55,Crime
76,981,4.5,Comedy
76,2003,4.45,Horror
76,133,4.3,Crime
76,396,4.15,Drama
76,5920,4.15,Comedy
78,1475,4.7,Horror
78,4182,4.55,Comedy
78,44,4.3,Mystery
78,2896,4.25,Drama
78,4210,4.1,Action
78,463,4.05,Comedy
80,3645,4.89,Drama
80,749,4.4,Drama
80,8398,4.33,Adventure
80,5222,4.2,Adventure
80,3747,4.05,Action
88,794,4.8,Action
88,6683,4.75,Comedy
88,4989,4.65,Action
88,7329,4.6,Sci_Fi
88,4422,4.6,Comedy
88,525,4.35,Comedy
88,2900,4.2,Comedy
88,2943,4.05,Action
92,8141,4.6,Animation
92,3975,4.6,Comedy
92,5461,4.55,Comedy
92,1968,4.25,Drama
92,9046,4.1,Comedy
92,5272,4.05,Drama
