user_id,item_id,rating,category
1,7,4.38,CENTRO_VISITA
1,9,4.53,MUSEO
1,10,4.37,INFOPOINT
1,4,4.15,AREA_FAUNISTICA
2,7,4.09,CENTRO_VISITA
2,16,4.67,INFOPOINT
2,13,4.27,MUSEO
2,17,4.26,INFOPOINT
3,15,4.89,INFOPOINT
3,9,4.57,MUSEO
3,2,4.51,CENTRO_VISITA
3,18,4.31,INFOPOINT
4,6,4.5,AREA_FAUNISTICA
4,20,3.98,INFOPOINT
4,1,3.65,AREA_FAUNISTICA
5,15,4.68,INFOPOINT
5,7,4.6,CENTRO_VISITA
5,9,4.38,MUSEO
5,18,3.91,INFOPOINT
6,5,4.27,AREA_FAUNISTICA
6,1,3.75,AREA_FAUNISTICA
6,2,4.29,CENTRO_VISITA
7,14,4.25,MUSEO
7,20,3.87,INFOPOINT
8,2,4.63,CENTRO_VISITA
8,14,4.36,MUSEO
8,16,3.95,INFOPOINT
8,10,3.81,INFOPOINT
9,13,4.15,MUSEO
9,11,4.46,CENTRO_VISITA
9,6,4.4,AREA_FAUNISTICA
9,1,4.31,AREA_FAUNISTICA
9,2,4.3,CENTRO_VISITA
9,17,4.27,INFOPOINT
9,12,4.05,CENTRO_VISITA
10,9,4.82,MUSEO
10,13,4.47,MUSEO
10,19,4.5,COMUNE
10,11,4.29,CENTRO_VISITA
10,8,4.18,INFOPOINT
11,18,4.33,INFOPOINT
12,17,4.49,INFOPOINT
12,6,4.38,AREA_FAUNISTICA
12,7,4.37,CENTRO_VISITA
12,16,4.13,INFOPOINT
13,6,5.0,AREA_FAUNISTICA
13,19,5.0,COMUNE
13,18,4.34,INFOPOINT
13,1,3.95,AREA_FAUNISTICA
13,15,3.92,INFOPOINT
13,17,3.87,INFOPOINT
14,6,4.9,AREA_FAUNISTICA
14,15,4.65,INFOPOINT
14,3,4.5,CENTRO_VISITA
14,14,4.44,MUSEO
14,12,4.16,CENTRO_VISITA
14,2,4.07,CENTRO_VISITA
14,1,3.98,AREA_FAUNISTICA
14,16,3.73,INFOPOINT
15,7,4.74,CENTRO_VISITA
15,6,4.55,AREA_FAUNISTICA
15,20,4.32,INFOPOINT
15,4,4.29,AREA_FAUNISTICA
15,16,3.94,INFOPOINT
16,1,4.44,AREA_FAUNISTICA
16,5,3.94,AREA_FAUNISTICA
16,17,4.46,INFOPOINT
16,8,4.4,INFOPOINT
16,10,4.25,INFOPOINT
16,12,4.02,CENTRO_VISITA
17,6,4.78,AREA_FAUNISTICA
17,3,4.51,CENTRO_VISITA
17,2,4.25,CENTRO_VISITA
17,12,3.93,CENTRO_VISITA
17,20,3.88,INFOPOINT
18,6,4.48,AREA_FAUNISTICA
18,4,4.13,AREA_FAUNISTICA
18,18,4.64,INFOPOINT
18,19,4.54,COMUNE
18,9,4.43,MUSEO
18,17,4.07,INFOPOINT
18,11,3.89,CENTRO_VISITA
19,7,4.4,CENTRO_VISITA
19,13,4.5,MUSEO
19,17,4.5,INFOPOINT
19,14,4.48,MUSEO
19,16,4.18,INFOPOINT
20,20,4.14,INFOPOINT
20,3,4.51,CENTRO_VISITA
20,6,4.49,AREA_FAUNISTICA
20,2,4.02,CENTRO_VISITA
20,1,3.98,AREA_FAUNISTICA
