user_id,item_id,rating,category
1,1,5.0,AREA_FAUNISTICA
1,4,5.0,AREA_FAUNISTICA
1,5,5.0,AREA_FAUNISTICA
1,6,5.0,AREA_FAUNISTICA
2,2,5.0,CENTRO_VISITA
2,3,5.0,CENTRO_VISITA
2,7,5.0,CENTRO_VISITA
2,11,5.0,CENTRO_VISITA
2,12,5.0,CENTRO_VISITA
3,19,5.0,COMUNE
5,8,5.0,INFOPOINT
5,10,5.0,INFOPOINT
5,15,5.0,INFOPOINT
5,16,5.0,INFOPOINT
5,17,5.0,INFOPOINT
5,18,5.0,INFOPOINT
5,20,5.0,INFOPOINT
6,9,5.0,MUSEO
6,13,5.0,MUSEO
6,14,5.0,MUSEO
7,1,5.0,AREA_FAUNISTICA
7,4,5.0,AREA_FAUNISTICA
7,5,5.0,AREA_FAUNISTICA
7,6,5.0,AREA_FAUNISTICA
8,2,5.0,CENTRO_VISITA
8,3,5.0,CENTRO_VISITA
8,7,5.0,CENTRO_VISITA
8,11,5.0,CENTRO_VISITA
8,12,5.0,CENTRO_VISITA
9,19,5.0,COMUNE
11,8,5.0,INFOPOINT
11,10,5.0,INFOPOINT
11,15,5.0,INFOPOINT
11,16,5.0,INFOPOINT
11,17,5.0,INFOPOINT
11,18,5.0,INFOPOINT
11,20,5.0,INFOPOINT
12,9,5.0,MUSEO
12,13,5.0,MUSEO
12,14,5.0,MUSEO
13,1,5.0,AREA_FAUNISTICA
13,4,5.0,AREA_FAUNISTICA
13,5,5.0,AREA_FAUNISTICA
13,6,5.0,AREA_FAUNISTICA
14,2,5.0,CENTRO_VISITA
14,3,5.0,CENTRO_VISITA
14,7,5.0,CENTRO_VISITA
14,11,5.0,CENTRO_VISITA
14,12,5.0,CENTRO_VISITA
15,19,5.0,COMUNE
17,8,5.0,INFOPOINT
17,10,5.0,INFOPOINT
17,15,5.0,INFOPOINT
17,16,5.0,INFOPOINT
17,17,5.0,INFOPOINT
17,18,5.0,INFOPOINT
17,20,5.0,INFOPOINT
18,9,5.0,MUSEO
18,13,5.0,MUSEO
18,14,5.0,MUSEO
19,1,5.0,AREA_FAUNISTICA
19,4,5.0,AREA_FAUNISTICA
19,5,5.0,AREA_FAUNISTICA
19,6,5.0,AREA_FAUNISTICA
20,2,5.0,CENTRO_VISITA
20,3,5.0,CENTRO_VISITA
20,7,5.0,CENTRO_VISITA
20,11,5.0,CENTRO_VISITA
20,12,5.0,CENTRO_VISITA
